,ID,Scenario,alt,chosen,RC,OC,DR,time,Freq_p_week,nationality,Gender,marital,age,experience_months,income,education 
1,R_3fZBQYRcTj6rtUC,IND1.3,1,1,3000,45,550,35.82,7,4,2,1,68,300,1.5,2
2,R_3fZBQYRcTj6rtUC,IND1.3,3,0,3900,14,350,35.82,7,4,2,1,68,300,1.5,2
3,R_3fZBQYRcTj6rtUC,IND1.2,1,1,3000,45,550,22.01,7,4,2,1,68,300,1.5,2
4,R_3fZBQYRcTj6rtUC,IND1.2,3,0,3600,14,350,22.01,7,4,2,1,68,300,1.5,2
5,R_3fZBQYRcTj6rtUC,IND1.1,1,1,3000,45,550,47.948,7,4,2,1,68,300,1.5,2
6,R_3fZBQYRcTj6rtUC,IND1.1,3,0,3300,14,350,47.948,7,4,2,1,68,300,1.5,2
7,R_3fZBQYRcTj6rtUC,IND1,1,1,3000,45,550,7.101,7,4,2,1,68,300,1.5,2
8,R_3fZBQYRcTj6rtUC,IND1,3,0,3000,14,350,7.101,7,4,2,1,68,300,1.5,2
9,R_3fZBQYRcTj6rtUC,INDB1,1,0,3000,45,550,60.229,7,4,2,1,68,300,1.5,2
10,R_3fZBQYRcTj6rtUC,INDB1,3,1,2700,14,350,60.229,7,4,2,1,68,300,1.5,2
11,R_2xESOZsu1b0DK9W,IND1.3,1,1,3000,43,550,38.491,6,4,2,1,70,219,3.5,2
12,R_2xESOZsu1b0DK9W,IND1.3,3,0,3900,17,350,38.491,6,4,2,1,70,219,3.5,2
13,R_2xESOZsu1b0DK9W,IND1.2,1,1,3000,43,550,23.66,6,4,2,1,70,219,3.5,2
14,R_2xESOZsu1b0DK9W,IND1.2,3,0,3600,17,350,23.66,6,4,2,1,70,219,3.5,2
15,R_2xESOZsu1b0DK9W,IND1.1,1,1,3000,43,550,15.182,6,4,2,1,70,219,3.5,2
16,R_2xESOZsu1b0DK9W,IND1.1,3,0,3300,17,350,15.182,6,4,2,1,70,219,3.5,2
17,R_2xESOZsu1b0DK9W,IND1,1,1,3000,43,550,27.667,6,4,2,1,70,219,3.5,2
18,R_2xESOZsu1b0DK9W,IND1,3,0,3000,17,350,27.667,6,4,2,1,70,219,3.5,2
19,R_2xESOZsu1b0DK9W,INDB1,1,0,3000,43,550,16.325,6,4,2,1,70,219,3.5,2
20,R_2xESOZsu1b0DK9W,INDB1,3,1,1500,17,350,16.325,6,4,2,1,70,219,3.5,2
21,R_2xESOZsu1b0DK9W,A1.4R,1,0,3000,43,550,16.099,6,4,2,1,70,219,3.5,2
22,R_2xESOZsu1b0DK9W,A1.4R,3,1,1500,17,350,16.099,6,4,2,1,70,219,3.5,2
23,R_2xESOZsu1b0DK9W,A1.4R,4,0,1480,17,250,16.099,6,4,2,1,70,219,3.5,2
24,R_2xESOZsu1b0DK9W,A1.1R,1,0,3000,43,550,9.602,6,4,2,1,70,219,3.5,2
25,R_2xESOZsu1b0DK9W,A1.1R,3,1,1500,17,350,9.602,6,4,2,1,70,219,3.5,2
26,R_2xESOZsu1b0DK9W,A1.1R,4,0,1450,17,250,9.602,6,4,2,1,70,219,3.5,2
27,R_2xESOZsu1b0DK9W,A1.3R,1,0,3000,43,550,10.306,6,4,2,1,70,219,3.5,2
28,R_2xESOZsu1b0DK9W,A1.3R,3,1,1500,17,350,10.306,6,4,2,1,70,219,3.5,2
29,R_2xESOZsu1b0DK9W,A1.3R,4,0,1480,17,300,10.306,6,4,2,1,70,219,3.5,2
30,R_2xESOZsu1b0DK9W,A1.2R,1,0,3000,43,550,7.466,6,4,2,1,70,219,3.5,2
31,R_2xESOZsu1b0DK9W,A1.2R,3,1,1500,17,350,7.466,6,4,2,1,70,219,3.5,2
32,R_2xESOZsu1b0DK9W,A1.2R,4,0,1450,17,200,7.466,6,4,2,1,70,219,3.5,2
33,R_10Afyg8YcVK61Hk,IND1.3,1,1,2700,38,600,6.368,6,4,2,1,57,276,2.5,1
34,R_10Afyg8YcVK61Hk,IND1.3,3,0,3500,14,350,6.368,6,4,2,1,57,276,2.5,1
35,R_10Afyg8YcVK61Hk,IND1.2,1,1,2700,38,600,3.782,6,4,2,1,57,276,2.5,1
36,R_10Afyg8YcVK61Hk,IND1.2,3,0,3250,14,350,3.782,6,4,2,1,57,276,2.5,1
37,R_10Afyg8YcVK61Hk,IND1.1,1,1,2700,38,600,17.39,6,4,2,1,57,276,2.5,1
38,R_10Afyg8YcVK61Hk,IND1.1,3,0,2950,14,350,17.39,6,4,2,1,57,276,2.5,1
39,R_10Afyg8YcVK61Hk,IND1,1,0,2700,38,600,5.366,6,4,2,1,57,276,2.5,1
40,R_10Afyg8YcVK61Hk,IND1,3,1,2700,14,350,5.366,6,4,2,1,57,276,2.5,1
41,R_1dAi96dvpP4rxJ1,IND1.3,1,1,3000,30,800,4.499,4,4,2,1,52,54,2.5,2
42,R_1dAi96dvpP4rxJ1,IND1.3,3,0,3900,17,500,4.499,4,4,2,1,52,54,2.5,2
43,R_1dAi96dvpP4rxJ1,IND1.2,1,1,3000,30,800,8.66,4,4,2,1,52,54,2.5,2
44,R_1dAi96dvpP4rxJ1,IND1.2,3,0,3600,17,500,8.66,4,4,2,1,52,54,2.5,2
45,R_1dAi96dvpP4rxJ1,IND1.1,1,1,3000,30,800,9.891,4,4,2,1,52,54,2.5,2
46,R_1dAi96dvpP4rxJ1,IND1.1,3,0,3300,17,500,9.891,4,4,2,1,52,54,2.5,2
47,R_1dAi96dvpP4rxJ1,IND1,1,0,3000,30,800,4.206,4,4,2,1,52,54,2.5,2
48,R_1dAi96dvpP4rxJ1,IND1,3,1,3000,17,500,4.206,4,4,2,1,52,54,2.5,2
49,R_DAX68Vs4Kz8vUgp,IND1.3,1,1,3000,39,600,14.26,6,4,2,1,65,156,4.5,1
50,R_DAX68Vs4Kz8vUgp,IND1.3,3,0,3900,17,350,14.26,6,4,2,1,65,156,4.5,1
51,R_DAX68Vs4Kz8vUgp,IND1.2,1,1,3000,39,600,45.312,6,4,2,1,65,156,4.5,1
52,R_DAX68Vs4Kz8vUgp,IND1.2,3,0,3600,17,350,45.312,6,4,2,1,65,156,4.5,1
53,R_DAX68Vs4Kz8vUgp,IND1.1,1,1,3000,39,600,20.418,6,4,2,1,65,156,4.5,1
54,R_DAX68Vs4Kz8vUgp,IND1.1,3,0,3300,17,350,20.418,6,4,2,1,65,156,4.5,1
55,R_DAX68Vs4Kz8vUgp,IND1,1,0,3000,39,600,19.409,6,4,2,1,65,156,4.5,1
56,R_DAX68Vs4Kz8vUgp,IND1,3,1,3000,17,350,19.409,6,4,2,1,65,156,4.5,1
57,R_23V6WTC693E94Og,IND1.3,1,1,3000,39,600,60.895,6,4,2,2,56,156,4.5,2
58,R_23V6WTC693E94Og,IND1.3,3,0,3900,17,350,60.895,6,4,2,2,56,156,4.5,2
59,R_23V6WTC693E94Og,IND1.2,1,1,3000,39,600,9.77,6,4,2,2,56,156,4.5,2
60,R_23V6WTC693E94Og,IND1.2,3,0,3600,17,350,9.77,6,4,2,2,56,156,4.5,2
61,R_23V6WTC693E94Og,IND1.1,1,1,3000,39,600,21.108,6,4,2,2,56,156,4.5,2
62,R_23V6WTC693E94Og,IND1.1,3,0,3300,17,350,21.108,6,4,2,2,56,156,4.5,2
63,R_23V6WTC693E94Og,IND1,1,0,3000,39,600,37.909,6,4,2,2,56,156,4.5,2
64,R_23V6WTC693E94Og,IND1,3,1,3000,17,350,37.909,6,4,2,2,56,156,4.5,2
