RC1,OC1,DR1,RC3,OC3,DR3,RC4,OC4,DR4
0.247933884,0.368932039,0.086408785,0.173553719,0.13592233,0.161503754,0.165289256,0.13592233,0.221109984
0.347107438,0.349514563,0.017314937,0.347107438,0.194174757,0.086408785,0.338842975,0.194174757,0.11921246
0.247933884,0.27184466,0.072397516,0.297520661,0.106796117,0.138842517,0.289256198,0.106796117,0.188306308
0.347107438,0.368932039,0.00840269,0.347107438,0.165048544,0.086408785,0.338842975,0.165048544,0.11921246
0.347107438,0.427184466,0.026802555,0.363636364,0.165048544,0.101897524,0.355371901,0.165048544,0.138842517
0.347107438,0.349514563,0,0.454545455,0.194174757,0.072397516,0.446280992,0.194174757,0.101897524
0.247933884,0.689320388,0.086408785,0.32231405,0.165048544,0.161503754,0.314049587,0.165048544,0.221109984
0.347107438,0.359223301,0,0.380165289,0.223300971,0.072397516,0.371900826,0.223300971,0.101897524
0.297520661,0.310679612,0.05960623,0.338842975,0.106796117,0.138842517,0.330578512,0.106796117,0.188306308
0.446280992,0.485436893,0.072397516,0.578512397,0.165048544,0.138842517,0.570247934,0.165048544,0.188306308
0.396694215,0.485436893,0.072397516,0.512396694,0.165048544,0.138842517,0.504132231,0.165048544,0.188306308
0.297520661,0.388349515,0.072397516,0.388429752,0.13592233,0.138842517,0.380165289,0.13592233,0.188306308
0.297520661,1,0.072397516,0.388429752,0.281553398,0.138842517,0.380165289,0.281553398,0.188306308
0.396694215,0.504854369,0.017314937,0.479338843,0.194174757,0.086408785,0.47107438,0.194174757,0.11921246
0.247933884,0.514563107,0.072397516,0.32231405,0.194174757,0.138842517,0.314049587,0.194174757,0.188306308
0.396694215,0.67961165,0.036944993,0.454545455,0.165048544,0.11921246,0.446280992,0.165048544,0.161503754
0.446280992,0.446601942,0.047839388,0.578512397,0.165048544,0.11921246,0.570247934,0.165048544,0.161503754
0.297520661,0.310679612,0.05960623,0.330578512,0.106796117,0.138842517,0.32231405,0.106796117,0.188306308
0.446280992,0.485436893,0.072397516,0.512396694,0.165048544,0.138842517,0.504132231,0.165048544,0.188306308
0.297520661,0.533980583,0.086408785,0.388429752,0.194174757,0.161503754,0.380165289,0.194174757,0.221109984
0.446280992,0.349514563,0.017314937,0.578512397,0.13592233,0.086408785,0.570247934,0.13592233,0.11921246
0.247933884,0.27184466,0.072397516,0.280991736,0.106796117,0.138842517,0.272727273,0.106796117,0.188306308
0.198347107,0.436893204,0.072397516,0.115702479,0.13592233,0.138842517,0.107438017,0.13592233,0.188306308
