,ID,Scenario,alt,chosen,RC,OC,DR,fixation_trail,Freq_p_week,nationality,Gender,marital,age,experience_months,N_reject_order,Start_working_time,income,education 
1,11165,S1.4R,1,1,1800,55,500,52522,6,4,2,1,46,18,1,7,6.5,5
2,11165,S1.4R,3,0,2350,20,300,52522,6,4,2,1,46,18,1,7,6.5,5
3,11165,S1.4R,4,0,2550,16,300,52522,6,4,2,1,46,18,1,7,6.5,5
4,11165,S2.2R,1,1,1800,55,500,19814,6,4,2,1,46,18,1,7,6.5,5
5,11165,S2.2R,3,0,2350,20,300,19814,6,4,2,1,46,18,1,7,6.5,5
6,11165,S2.2R,4,0,2250,24,300,19814,6,4,2,1,46,18,1,7,6.5,5
7,11165,S2.1R,1,1,1800,55,500,29040,6,4,2,1,46,18,1,7,6.5,5
8,11165,S2.1R,3,0,2350,20,300,29040,6,4,2,1,46,18,1,7,6.5,5
9,11165,S2.1R,4,0,2250,22,300,29040,6,4,2,1,46,18,1,7,6.5,5
10,11165,S1.2R,1,1,1800,55,500,44564,6,4,2,1,46,18,1,7,6.5,5
11,11165,S1.2R,3,0,2350,20,300,44564,6,4,2,1,46,18,1,7,6.5,5
12,11165,S1.2R,4,0,2450,16,300,44564,6,4,2,1,46,18,1,7,6.5,5
13,11165,S2.4R,1,1,1800,55,500,55846,6,4,2,1,46,18,1,7,6.5,5
14,11165,S2.4R,3,0,2350,20,300,55846,6,4,2,1,46,18,1,7,6.5,5
15,11165,S2.4R,4,0,2150,24,300,55846,6,4,2,1,46,18,1,7,6.5,5
16,11165,A1.1R,1,1,1800,55,500,13236,6,4,2,1,46,18,1,7,6.5,5
17,11165,A1.1R,3,0,2350,20,300,13236,6,4,2,1,46,18,1,7,6.5,5
18,11165,A1.1R,4,0,2300,20,200,13236,6,4,2,1,46,18,1,7,6.5,5
19,11165,A1.4R,1,1,1800,55,500,12996,6,4,2,1,46,18,1,7,6.5,5
20,11165,A1.4R,3,0,2350,20,300,12996,6,4,2,1,46,18,1,7,6.5,5
21,11165,A1.4R,4,0,2330,20,200,12996,6,4,2,1,46,18,1,7,6.5,5
22,11165,A1.2R,1,1,1800,55,500,9736,6,4,2,1,46,18,1,7,6.5,5
23,11165,A1.2R,3,0,2350,20,300,9736,6,4,2,1,46,18,1,7,6.5,5
24,11165,A1.2R,4,0,2300,20,150,9736,6,4,2,1,46,18,1,7,6.5,5
25,111671,A1.3,1,0,1500,38,500,19292,5,4,2,1,65,96,4,9,3.5,2
26,111671,A1.3,3,1,1050,14,300,19292,5,4,2,1,65,96,4,9,3.5,2
27,111671,A1.3,4,0,1030,14,250,19292,5,4,2,1,65,96,4,9,3.5,2
28,111671,A1.2,1,0,1500,38,500,23648,5,4,2,1,65,96,4,9,3.5,2
29,111671,A1.2,3,1,1050,14,300,23648,5,4,2,1,65,96,4,9,3.5,2
30,111671,A1.2,4,0,1000,14,150,23648,5,4,2,1,65,96,4,9,3.5,2
31,111671,A1.4,1,0,1500,38,500,10280,5,4,2,1,65,96,4,9,3.5,2
32,111671,A1.4,3,1,1050,14,300,10280,5,4,2,1,65,96,4,9,3.5,2
33,111671,A1.4,4,0,1030,14,200,10280,5,4,2,1,65,96,4,9,3.5,2
34,111671,A1.1,1,0,1500,38,500,12508,5,4,2,1,65,96,4,9,3.5,2
35,111671,A1.1,3,1,1050,14,300,12508,5,4,2,1,65,96,4,9,3.5,2
36,111671,A1.1,4,0,1000,14,200,12508,5,4,2,1,65,96,4,9,3.5,2
37,111671,S1.2,1,0,1500,38,500,40492,5,4,2,1,65,96,4,9,3.5,2
38,111671,S1.2,3,0,1050,14,300,40492,5,4,2,1,65,96,4,9,3.5,2
39,111671,S1.2,4,1,1150,10,300,40492,5,4,2,1,65,96,4,9,3.5,2
40,111671,S1.3,1,0,1500,38,500,19110,5,4,2,1,65,96,4,9,3.5,2
41,111671,S1.3,3,1,1050,14,300,19110,5,4,2,1,65,96,4,9,3.5,2
42,111671,S1.3,4,0,1250,12,300,19110,5,4,2,1,65,96,4,9,3.5,2
43,111671,S2.3,1,0,1500,38,500,9452,5,4,2,1,65,96,4,9,3.5,2
44,111671,S2.3,3,0,1050,14,300,9452,5,4,2,1,65,96,4,9,3.5,2
45,111671,S2.3,4,1,850,16,300,9452,5,4,2,1,65,96,4,9,3.5,2
46,111671,S1.4,1,0,1500,38,500,22482,5,4,2,1,65,96,4,9,3.5,2
47,111671,S1.4,3,1,1050,14,300,22482,5,4,2,1,65,96,4,9,3.5,2
48,111671,S1.4,4,0,1250,10,300,22482,5,4,2,1,65,96,4,9,3.5,2
49,11168,A1.4R,1,1,2700,36,800,33154,6,4,2,1,57,276,0,9,2,2
50,11168,A1.4R,3,0,3500,14,500,33154,6,4,2,1,57,276,0,9,2,2
51,11168,A1.4R,4,0,3480,14,400,33154,6,4,2,1,57,276,0,9,2,2
52,11168,A1.1R,1,1,2700,36,800,50274,6,4,2,1,57,276,0,9,2,2
53,11168,A1.1R,3,0,3500,14,500,50274,6,4,2,1,57,276,0,9,2,2
54,11168,A1.1R,4,0,3450,14,400,50274,6,4,2,1,57,276,0,9,2,2
55,11168,A1.2R,1,1,2700,36,800,23106,6,4,2,1,57,276,0,9,2,2
56,11168,A1.2R,3,0,3500,14,500,23106,6,4,2,1,57,276,0,9,2,2
57,11168,A1.2R,4,0,3450,14,350,23106,6,4,2,1,57,276,0,9,2,2
58,11168,A1.3R,1,0,2700,36,800,45866,6,4,2,1,57,276,0,9,2,2
59,11168,A1.3R,3,0,3500,14,500,45866,6,4,2,1,57,276,0,9,2,2
60,11168,A1.3R,4,1,3480,14,450,45866,6,4,2,1,57,276,0,9,2,2
61,11168,S2.3R,1,1,2700,36,800,19048,6,4,2,1,57,276,0,9,2,2
62,11168,S2.3R,3,0,3500,14,500,19048,6,4,2,1,57,276,0,9,2,2
