ID,fixation_trail,chosen1,chosen3,chosen4
1,10.9033363,0,1,0
2,15.59631167,0,0,1
3,19.67833592,0,1,0
4,16.84175382,0,1,0
5,14.70086112,0,1,0
6,12.22819633,1,0,0
7,4.222052035,0,0,1
8,18.37381568,0,1,0
9,15.29158644,0,1,0
10,8.873966587,1,0,0
11,10.21723935,0,1,0
12,14.57659762,1,0,0
13,1.478854504,0,1,0
14,11.85082432,0,1,0
15,11.9080974,0,1,0
16,4.332577929,0,1,0
17,9.154057169,1,0,0
18,15.65059478,0,1,0
19,10.95185018,0,1,0
20,11.72460786,0,1,0
21,7.840425103,1,0,0
22,20.2559899,0,0,1
23,8.140771105,0,1,0
24,23.30538507,0,0,1
25,20.74976702,0,0,1
26,16.66633135,0,1,0
27,12.71142908,1,0,0
28,10.10726688,1,0,0
29,19.25538912,0,1,0
30,9.199209012,0,1,0
31,14.3004202,1,0,0
32,10.69255718,0,1,0
33,11.61006574,0,1,0
34,9.364635897,1,0,0
35,6.600514299,0,0,1
36,15.3000537,0,0,1
37,10.96530843,1,0,0
38,10.06015217,0,1,0
39,5.890704628,1,0,0
40,20.2409692,0,1,0
41,18.28302329,0,1,0
42,10.74108074,1,0,0
43,3.985347828,0,1,0
44,8.734614354,1,0,0
45,11.92981686,1,0,0
46,1.469394812,0,1,0
47,15.1207926,0,1,0
48,4.55692022,0,0,1
49,8.754170045,1,0,0
50,19.28135505,1,0,0
51,11.39095843,0,1,0
52,10.00642746,0,1,0
53,8.703881446,1,0,0
54,8.023713339,0,1,0
55,20.424004,0,1,0
56,23.49390196,0,1,0
57,8.870604217,1,0,0
58,16.45620846,0,0,1
59,11.62266542,1,0,0
60,8.39805416,1,0,0
61,16.28239043,1,0,0
62,8.240645103,0,1,0
63,12.14738181,1,0,0
64,2.438230033,1,0,0
65,11.64359971,0,1,0
66,10.14063286,1,0,0
67,7.66936931,1,0,0
68,6.688829793,0,1,0
69,14.25681616,0,0,1
70,10.0544881,1,0,0
71,12.00005576,0,1,0
72,6.217078025,1,0,0
73,22.1220961,0,0,1
74,11.96204312,0,0,1
75,10.3483954,1,0,0
76,4.310533172,0,1,0
77,21.34322477,0,1,0
78,16.84403322,0,1,0
79,8.569256393,1,0,0
80,11.23056743,0,1,0
81,16.24042347,0,1,0
82,1.498253924,0,1,0
83,10.73667806,0,1,0
84,11.24261588,0,1,0
85,4.397098147,0,0,1
86,8.946760866,1,0,0
87,16.95892455,0,0,1
88,11.89247011,0,1,0
89,8.083714173,1,0,0
90,16.97586698,0,1,0
91,8.517310957,0,1,0
92,24.65787002,0,1,0
93,26.54209757,0,1,0
94,9.860087511,1,0,0
95,23.52573653,1,0,0
96,11.69762142,1,0,0
97,8.719765953,1,0,0
98,16.14950684,1,0,0
99,6.947638567,0,0,1
100,13.95953375,1,0,0
101,2.440763387,1,0,0
102,12.59160719,0,1,0
103,12.62590159,0,0,1
104,9.921801781,0,1,0
105,6.342176494,0,1,0
106,10.42409701,0,1,0
107,6.02366201,1,0,0
108,19.6757076,0,1,0
109,21.42492385,0,1,0
110,13.000239,0,1,0
111,12.03606718,0,1,0
112,12.00415953,1,0,0
113,4.116833271,0,1,0
114,21.88285813,0,0,1
115,23.2749823,0,0,1
116,9.459832368,1,0,0
117,16.33438083,1,0,0
118,1.524814332,0,1,0
119,10.85257943,0,1,0
120,13.91325529,0,1,0
121,4.462844855,0,1,0
122,14.73064692,0,1,0
123,10.80563067,0,1,0
124,10.15129802,0,1,0
125,7.809833822,1,0,0
126,21.5374947,0,0,1
127,8.767879203,0,1,0
128,19.14794063,0,1,0
129,23.66439449,0,0,1
130,11.57163146,1,0,0
131,23.82356166,0,1,0
132,8.900366106,1,0,0
133,15.77372158,1,0,0
134,8.85058297,0,1,0
135,11.41586013,1,0,0
136,2.464446168,1,0,0
137,12.54157931,0,1,0
138,7.712445039,1,0,0
139,7.508512505,0,1,0
140,13.39127104,0,1,0
141,10.12275413,1,0,0
142,4.772392939,1,0,0
143,17.03490841,0,1,0
144,18.57415959,0,0,1
145,12.06117927,0,1,0
146,3.674273156,0,0,1
147,21.29793822,0,0,1
148,15.96363316,0,1,0
149,10.3254107,1,0,0
150,1.385968478,0,0,1
151,12.44739543,0,1,0
152,4.203253264,0,0,1
153,7.222586593,1,0,0
154,20.59023842,0,0,1
155,18.46052933,0,1,0
156,7.855966355,0,1,0
157,21.75784445,0,1,0
158,10.63103353,1,0,0
159,23.0502663,0,0,1
160,10.82302782,1,0,0
161,8.617600411,0,1,0
162,10.78631039,1,0,0
163,11.20326184,0,1,0
164,14.70832226,1,0,0
165,10.53341722,0,1,0
166,5.236770928,1,0,0
167,19.86401871,0,0,1
168,13.79790266,0,0,1
169,15.62842692,0,1,0
170,11.0392085,1,0,0
171,3.51173626,0,0,1
172,18.79303196,0,1,0
173,8.235767991,1,0,0
174,11.87558374,0,0,1
175,11.03258507,0,1,0
176,8.086219971,0,0,1
177,23.15274058,0,1,0
178,25.57842942,0,1,0
179,18.22807125,0,0,1
